gene,area
CBLN2,Frontal lobe
BDNF,Frontal lobe
CPNE8,Frontal lobe
RXRG,Frontal lobe
FNDC1,Frontal lobe
KCNA5,Frontal lobe
VSTM2L,Frontal lobe
PCDH17,Frontal lobe
CBLN1,Frontal lobe
DCHS2,Frontal lobe
CNKSR3,Frontal lobe
SDK1,Frontal lobe
HS6ST3,Frontal lobe
SERPINB9,Frontal lobe
SLC6A7,Frontal lobe
FSTL5,Frontal lobe
SLN,Frontal lobe
STK32B,Frontal lobe
HSPA12A,Frontal lobe
RGS9,Frontal lobe
CDH22,Frontal lobe
TCERG1L,Frontal lobe
SYT9,Frontal lobe
RCAN2,Frontal lobe
ZNF423,Frontal lobe
WNT11,Frontal lobe
NEUROD1,Frontal lobe
PTGFR,Frontal lobe
TMEM200C,Frontal lobe
CHRDL1,Frontal lobe
NEUROG2,Frontal lobe
TOX,Frontal lobe
STXBP6,Frontal lobe
NDP,Frontal lobe
MDGA1,Frontal lobe
ITGA9,Frontal lobe
KCNJ6,Frontal lobe
ADCY8,Frontal lobe
YBX3,Frontal lobe
CNIH3,Frontal lobe
CSRP2,Frontal lobe
SLC26A11,Frontal lobe
CDH8,Frontal lobe
CNTNAP2,Frontal lobe
CYP26A1,Frontal lobe
SULF2,Frontal lobe
DUSP4,Frontal lobe
CLEC2L,Frontal lobe
PRSS23,Frontal lobe
ASTN2,Frontal lobe
MEIS2,Frontal lobe
ST6GALNAC5,Frontal lobe
L3MBTL4,Frontal lobe
COLGALT2,Frontal lobe
NTN4,Frontal lobe
ADAMTSL1,Frontal lobe
ADCY2,Frontal lobe
GALNT17,Frontal lobe
GNG4,Frontal lobe
CYP26B1,Frontal lobe
SYNM,Frontal lobe
SLF1,Frontal lobe
SGSH,Frontal lobe
PLPP4,Frontal lobe
MEGF10,Frontal lobe
PCDH10,Frontal lobe
NRIP3,Frontal lobe
HUNK,Frontal lobe
GRM4,Frontal lobe
AMPH,Frontal lobe
SLC35F2,Frontal lobe
GREM2,Frontal lobe
GSTM2,Frontal lobe
GRID2,Frontal lobe
MARCHF3,Frontal lobe
LMO3,Frontal lobe
MAST4,Frontal lobe
SEMA3C,Frontal lobe
BRINP3,Frontal lobe
CLMP,Frontal lobe
YES1,Frontal lobe
GAREM1,Frontal lobe
RCAN1,Frontal lobe
PPP1R1B,Frontal lobe
CTNNBL1,Frontal lobe
POU3F2,Frontal lobe
TCTN2,Frontal lobe
PTX3,Frontal lobe
BRINP2,Frontal lobe
FKBP9,Frontal lobe
GALNT2,Frontal lobe
RASD1,Frontal lobe
FZD3,Frontal lobe
WNT3,Frontal lobe
B3GNT2,Frontal lobe
MTUS2,Frontal lobe
DDAH1,Frontal lobe
PHLDA1,Frontal lobe
GYG2,Frontal lobe
PDX1,Frontal lobe
MASP1,Frontal lobe
PTPRO,Frontal lobe
LRRC8B,Frontal lobe
CASD1,Frontal lobe
EPS15,Frontal lobe
SPRED2,Frontal lobe
LRRTM2,Frontal lobe
GPSM2,Frontal lobe
PLK2,Frontal lobe
HPCAL1,Frontal lobe
WLS,Frontal lobe
ALDH7A1,Frontal lobe
YPEL2,Frontal lobe
RFTN1,Frontal lobe
SPATA13,Frontal lobe
PDE4D,Frontal lobe
TNC,Frontal lobe
PACSIN2,Frontal lobe
TGFB3,Frontal lobe
EPS8,Frontal lobe
AKAP7,Frontal lobe
NRP1,Frontal lobe
MAP3K13,Frontal lobe
ACVR2A,Frontal lobe
PTN,Frontal lobe
SRM,PFC/M1
ZEB2,Parietal lobe
KLHL29,Parietal lobe
UNC5D,Parietal lobe
RASSF2,Parietal lobe
PTPN3,Parietal lobe
CACNA1A,Parietal lobe
PLXNC1,Temporal lobe
IGFBP5,Temporal lobe
SYBU,Temporal lobe
FGFBP3,Temporal lobe
MET,Temporal lobe
OSTN,Temporal lobe
WNT7B,Temporal lobe
NTNG2,Temporal lobe
EXPH5,Temporal lobe
SPINT1,Temporal lobe
THBS1,Parietal lobe
ERVMER34-1,Temporal lobe
HAS2,Temporal lobe
PIK3AP1,Temporal lobe
MAP3K19,Temporal lobe
COL9A3,Temporal lobe
TRPC7,Parietal lobe
FGFR3,Temporal lobe
PROKR2,Parietal lobe
LMO1,Temporal lobe
ASCL1,Temporal lobe
NR2F1,Temporal lobe
SNX22,Temporal lobe
ANLN,Temporal lobe
ETFB,Temporal lobe
RASL11B,Temporal lobe
INHBA,Parietal lobe
KLHL32,Occipital lobe
KCNH3,Parietal lobe
TRPC4,Temporal lobe
TLE1,Temporal lobe
PCSK9,Temporal lobe
ID2,Temporal lobe
NPTX1,Parietal lobe
LHFPL6,Temporal lobe
PLXND1,Temporal lobe
ECEL1,Temporal lobe
KCNJ12,Temporal lobe
GSTO2,Temporal lobe
LRRTM4,Temporal lobe
NTNG1,Temporal lobe
ADORA1,Temporal lobe
MYO1E,Occipital lobe
DOK5,Parietal lobe
UNC5A,Temporal lobe
EPHA6,Temporal lobe
PLP1,Temporal lobe
DACH2,Temporal lobe
STAC2,Parietal lobe
SORCS3,Temporal lobe
GPC4,Temporal lobe
NR2F2,Temporal lobe
CYB5R2,Temporal lobe
CDH3,Temporal lobe
CAMKV,Parietal lobe
TAFA2,Temporal lobe
THRA,Temporal lobe
SEMA7A,Parietal lobe
ADGRL2,Parietal lobe
PALLD,Temporal lobe
PCDH8,Temporal lobe
NR4A2,Temporal lobe
SOX9,"Par, temp, v2, v1"
SORCS1,"Par, temp, v2, v1"
ETV1,"Par, temp, v2, v1"
TAFA1,"Par, temp, v2, v1"
FOXP1,"Par, temp, v2, v1"
ARFGEF3,"Par, temp, v2, v1"
OPCML,"Par, temp, v2, v1"
NEFM,"Par, temp, v2, v1"
PPP3CA,"Par, temp, v2, v1"
NEUROD6,"Par, temp, v2, v1"